Comment,Designator,Footprint,LCSC,Quantity
MAX41460,U4,VSSOP-10_3x3mm_P0.5mm,,1
2.7p,C10,C_0603_1608Metric,,1
10p,C12,C_0603_1608Metric,,1
"BC847C,215",Q2,SOT-23,,1
CY7C65211-24LTXI,U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,1
10u,C4,C_0603_1608Metric,,1
IN-P32TATRGB,D1,LED_SMD_IN-P32TATRGB,,1
Combo_Conn,J1,PinHeader_1x05_P2.54mm_Vertical,,1
5.1k,R4,R_0603_1608Metric,,1
220k,R10,R_0603_1608Metric,,1
100n,C1,C_0603_1608Metric,,1
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
220k,R12,R_0603_1608Metric,,1
5.1k,R3,R_0603_1608Metric,,1
TLV70330DBVR,U2,SOT-23-5,,1
10k,R5,R_0603_1608Metric,,1
LMV331,U5,SOT-353_SC-70-5,,1
1k,R7,R_0603_1608Metric,,1
1u,C5,C_0603_1608Metric,,1
ATtiny814-SS,U1,SOIC-14_3.9x8.7mm_P1.27mm,,1
1k,R9,R_0603_1608Metric,,1
100p,C7,C_0603_1608Metric,,1
CON-SMA-EDGE-S,J2,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,,1
"BC847C,215",Q1,SOT-23,,1
1k,R8,R_0603_1608Metric,,1
1M,R6,R_0603_1608Metric,,1
ECS-160-12-37B-CTN-TR,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,,1
10k,R11,R_0603_1608Metric,,1
5.1k,R2,R_0603_1608Metric,,1
10n,C6,C_0603_1608Metric,,1
1n,C13,C_0603_1608Metric,,1
1k,R1,R_0603_1608Metric,,1
100p,C8,C_0603_1608Metric,,1
10n,C17,C_0603_1608Metric,,1
5.6n,L1,L_0603_1608Metric,,1
10u,C3,C_0603_1608Metric,,1
1n,C15,C_0603_1608Metric,,1
100p,C16,C_0603_1608Metric,,1
5.6n,L2,L_0603_1608Metric,,1
1n,C14,C_0603_1608Metric,,1
BAT54S,D2,SOT-23,,1
