Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,119.3,-87.52,180.0,top
C10,2.7p,C_0603_1608Metric,141.09375,-81.095,-90.0,top
C11,10p,C_0603_1608Metric,147.5,-82.645,90.0,top
C12,10p,C_0603_1608Metric,147.5,-81.095,90.0,top
C13,1n,C_0603_1608Metric,141.9,-84.62,90.0,top
C14,1n,C_0603_1608Metric,134.5,-89.82,-90.0,top
C15,1n,C_0603_1608Metric,134.5,-92.82,90.0,top
C16,100p,C_0603_1608Metric,128.2,-90.42,90.0,top
C17,10n,C_0603_1608Metric,141.7,-93.52,180.0,top
C2,100n,C_0603_1608Metric,125.6,-77.92,90.0,top
C3,10u,C_0603_1608Metric,118.0,-84.6825,90.0,top
C4,10u,C_0603_1608Metric,122.9,-82.42,0.0,top
C5,1u,C_0603_1608Metric,119.5,-81.82,90.0,top
C6,10n,C_0603_1608Metric,131.39375,-78.02,90.0,top
C7,100p,C_0603_1608Metric,133.69375,-78.02,-90.0,top
C8,100p,C_0603_1608Metric,143.19375,-80.32,180.0,top
C9,1.2p,C_0603_1608Metric,136.79375,-81.095,-90.0,top
D1,IN-P32TATRGB,LED_SMD_IN-P32TATRGB,114.0,-93.32,90.0,top
D2,BAT54S,SOT-23,144.8,-85.02,0.0,top
J1,Combo_Conn,PinHeader_1x05_P2.54mm_Vertical,110.0,-92.32,180.0,top
J2,CON-SMA-EDGE-S,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,152.95,-79.52,0.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,113.04,-80.02,-90.0,top
J4,CON-SMA-EDGE-S,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,152.95,-94.52,0.0,top
L1,5.6n,L_0603_1608Metric,135.39375,-79.5325,-90.0,top
L2,5.6n,L_0603_1608Metric,138.99375,-80.32,0.0,top
L3,22n,L_0603_1608Metric,145.2,-82.52,180.0,top
Q1,"BC847C,215",SOT-23,142.9,-90.92,180.0,top
Q2,"BC847C,215",SOT-23,138.8,-90.92,180.0,top
R1,1k,R_0603_1608Metric,114.4,-89.42,-90.0,top
R10,220k,R_0603_1608Metric,128.2,-94.22,90.0,top
R11,10k,R_0603_1608Metric,129.7,-94.22,90.0,top
R12,220k,R_0603_1608Metric,138.6,-93.52,0.0,top
R2,5.1k,R_0603_1608Metric,118.0,-76.52,90.0,top
R3,5.1k,R_0603_1608Metric,118.0,-81.82,-90.0,top
R4,5.1k,R_0603_1608Metric,140.4,-84.62,-90.0,top
R5,10k,R_0603_1608Metric,128.0,-97.52,0.0,top
R6,1M,R_0603_1608Metric,130.5,-92.02,0.0,top
R7,1k,R_0603_1608Metric,136.0,-89.82,-90.0,top
R8,1k,R_0603_1608Metric,133.0,-89.82,-90.0,top
R9,1k,R_0603_1608Metric,136.0,-92.82,-90.0,top
TP1,Rdr,Single_Pin,125.24,-89.76,0.0,top
TP2,Cmd,Single_Pin,125.24,-97.38,0.0,top
TP3,Tag,Single_Pin,125.24,-94.84,0.0,top
TP4,Sig,Single_Pin,140.48,-87.24,0.0,top
TP5,Amp,Single_Pin,132.86,-94.86,0.0,top
U1,ATtiny814-SS,SOIC-14_3.9x8.7mm_P1.27mm,119.1,-92.92,0.0,top
U2,TLV70330DBVR,SOT-23-5,121.8,-84.72,0.0,top
U3,CY7C65211-24LTXI,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,121.8,-78.52,-90.0,top
U4,MAX41460,VSSOP-10_3x3mm_P0.5mm,131.49375,-81.32,180.0,top
U5,LMV331,SOT-353_SC-70-5,130.6,-89.82,0.0,top
Y1,ECS-160-12-37B-CTN-TR,Crystal_SMD_2016-4Pin_2.0x1.6mm,131.39375,-84.52,180.0,top
